case,Dice,IoU,TP,FP,FN
case_266,0.8501729952262077,0.7393920926335035,48530,16848,257
case_267,0.9231836870995346,0.8573269888648763,88465,9950,4772
case_268,0.9112491359633201,0.8369675433227671,91622,14816,3031
case_269,0.847020030168029,0.7346355117439455,60365,20515,1290
case_270,0.9317594907347749,0.8722375557314084,90383,4042,9197
case_271,0.9125595449595137,0.8391811622692835,157949,16267,14002
case_272,0.9429887271796878,0.8921274081246173,187965,18383,4345
case_273,0.9159456558480451,0.8449259585455381,154455,24549,3799
case_274,0.9019489770896642,0.8214089858038546,145290,26090,5499
case_275,0.8852353160312927,0.7941006104353251,71288,11569,6915
case_276,0.924698751755299,0.8599439024782662,160346,14246,11869
case_277,0.9453150432048657,0.8963008689129212,114705,7335,5936
case_278,0.9026788877969206,0.8226205417524706,67510,9167,5390
case_279,0.9244443325909054,0.8595039388503237,110197,7471,10542
case_280,0.91241890639481,0.8389433319130806,82698,1164,14712
case_281,0.9265214736413596,0.863102009859689,93316,6009,8792
case_282,0.9264462709678463,0.8629714991564232,114575,15291,2902
case_283,0.906967268776314,0.8297713717693836,80136,10231,6209
case_284,0.895696965420487,0.8110970787665569,107897,11216,13913
case_285,0.8519178283678439,0.7420355871886121,104256,6788,29456
case_286,0.8522526255398493,0.742543737850597,106956,12391,24693
case_287,0.8440089543337379,0.730117207653013,100478,13049,24092
case_288,0.8875923714866566,0.7979020897877722,68764,14380,3037
case_289,0.9159994765581317,0.845017559262511,115497,5590,15593
case_290,0.9236928666543207,0.8582056534207292,104744,11055,6251
case_291,0.9125017434562276,0.8390834081484332,58881,3606,7686
case_292,0.8918679163797228,0.804838998493738,76409,4546,13982
case_293,0.8750093048261032,0.7777924818221251,105793,3275,26949
case_294,0.898282712550336,0.8153477509913154,134066,1411,28951
case_295,0.9176566007438842,0.8478423773587762,224022,24517,15687
case_296,0.9303087365355389,0.8696983590596998,153647,14969,8051
case_297,0.8681183874712703,0.7669692464848973,92350,1172,26887
case_298,0.9156772407764868,0.8444692624843604,100567,13106,5416
case_299,0.8927660675029097,0.8063030235078671,86297,20577,154
case_300,0.9086710614553415,0.8326280275011304,71815,9523,4913
case_301,0.8852891500676987,0.7941872550370027,63423,644,15792
